breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
Shiba Inu,https://dogtime.com/dog-breeds/shiba-inu,4,5,4,3,5,4,3,3,4,3,3,3,3,4,1,4,3,2,2,4,2,4,4,3,4,4,3,4,2,3,3,Companion Dogs,"1 foot, 1 inch to 1 foot, 5 inches tall at the shoulder",17 to 23 pounds,12 to 16 years,"The Shiba Inu dog breed is an ancient Japanese breed who dates back to at least the 3rd century BC. The breed nearly went extinct in the early 20th century, but was saved by a group of Japanese breeders who dedicated themselves to preserving them. Originally bred to flush birds and small game and occasionally used to hunt, the Shiba Inu is one of Japan’s six native breeds: Akita (large), Kishu, Hokkaido, Kai, Shikoku (medium), and Shiba (small). They are also the smallest of the spitz-type dogs native to Japan. They now mainly serve primarily as companion dogs in Japan and the United States today.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-653001154-e1691965000531.jpg?w=1024
Shichon,https://dogtime.com/dog-breeds/shichon,3,5,4,4,1,2,2,5,5,5,4,4,3,1,1,4,4,3,2,2,3,4,1,1,2,1,4,4,2,3,5,Mixed Breed Dogs,9 to 12 inches,9 to 15 pounds,12 to 18 years,"The Shichon is a mixed breed dog–a cross between the Shih Tzu and the Bichon Frise dog breeds. Affectionate, intelligent, and outgoing, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/shichon-mixed-dog-breed-pictures-cover.jpg?w=760
Shih-Poo,https://dogtime.com/dog-breeds/shih-poo,3,5,2,4,2,3,2,4,5,3,2,4,2,1,1,2,3,4,1,3,2,4,3,2,2,2,3,3,1,2,4,Mixed Breed Dogs,8 to 18 inches ,8 to 18 pounds ,13 to 17+ years ,"The Shih-Poo is a small companion hybrid dog breed of the Shih Tzu and a Toy Poodle. This small-sized dog is known for their delightful personality, making them a popular choice for families and individuals alike. Shih-Poos typically inherit a combination of the Shih Tzu’s friendly and loyal nature with the Poodle’s intelligence and hypoallergenic coat qualities.",https://dogtime.com/wp-content/uploads/sites/12/2023/12/GettyImages-1487826002-e1702396830635.jpg?w=1024
Shih Tzu,https://dogtime.com/dog-breeds/shih-tzu,3,5,5,3,3,3,1,5,5,4,4,5,2,3,1,1,3,4,1,3,3,4,4,4,2,2,3,2,3,2,4,Companion Dogs,9 to 10 inches tall at the shoulder,9 to 16 pounds,10 to 16 years,"The Shih Tzu is a small companion breed from Tibet whose name means “little lion,” but there’s nothing fierce about this dog. Affectionate and loving, the Shih Tzu is believed to have been bred from the Pekingese and Lhasa Apso thousands of years ago. Since ancient times, they’ve made themselves comfortable on the laps of people from all walks of life, even emperors! In modern times, these little dogs have found their way into homes as family companions, cherished for their small size, friendly temperament, silky and low-shedding coat, and adaptability to different living environments, including apartments.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-178920540-e1689348859523.jpg?w=1024
Shiranian,https://dogtime.com/dog-breeds/shiranian,3,4,4,4,2,2,1,4,5,3,3,4,2,2,2,2,2,3,2,2,2,4,1,1,2,2,3,2,3,2,4,Mixed Breed Dogs,7 to 12 inches,4 to 16 pounds ,12 to 16 years,"The Shiranian is a mixed breed dog — a cross between the Shih Tzu and Pomeranian breeds. Small, adorable, and loyal, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/09/shiranian-mixed-dog-breed-pictures-cover.jpg?w=760
Shollie,https://dogtime.com/dog-breeds/shollie,3,1,2,3,2,4,4,3,4,4,3,2,3,4,2,3,3,4,4,4,4,4,3,3,3,4,4,5,4,4,4,Mixed Breed Dogs,21 to 29 inches,70 to 80 pounds,13 to 15 years,"The Shollie is a unique cross between the vigilant German Shepherd and the tireless Border Collie, resulting in a dog breed who combines the best traits of both herding legends. With their impressive intelligence and unwavering loyalty, the Shollie is a versatile companion who excels in various roles, from family guardian to working dog extraordinaire.",https://dogtime.com/wp-content/uploads/sites/12/2019/12/GettyImages-957567086-e1715349129487.jpg?w=1024
Shorkie,https://dogtime.com/dog-breeds/shorkie,3,5,3,3,1,2,2,3,4,3,2,3,2,2,1,4,2,3,1,3,2,3,2,4,4,3,4,4,3,2,5,Mixed Breed Dogs,6 to 14 inches,5 to 15 pounds ,11 to 16 years ,"The Shorkie is a cross between the Shih Tzu and Yorkshire Terrier dog breeds. Small, fierce, and loyal, these pups inherited some of their parents’ best qualities. Shorkies also go by Shorkie Tzu, Yorkie Tzu, and Shih Tzu-Yorkie mix. Standing only 6 to 14 inches tall at the shoulder and weighing no more than 15 pounds, the Shorkie is a small dog with a big heart. Thanks to both parent breeds’ feisty but loving personalities, the Shorkie temperament is also devoted, lively, spunky, and affectionate. They are also energetic and adaptable, which makes them great dogs for active individuals. ",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-519672843-e1698161294142.jpg?w=1024
Siberian Husky,https://dogtime.com/dog-breeds/siberian-husky,3,2,1,4,1,5,3,5,5,5,5,5,3,3,3,2,4,2,3,4,2,3,4,3,5,5,5,5,3,5,5,Working Dogs,"1 foot, 8 inches to 1 foot, 11 inches tall at the shoulder",35 to 60 pounds,12 to 15 years,"The Siberian Husky, a truly striking dog breed, has a beautiful, thick coat that comes in a multitude of colors and markings. Their blue or multi-colored eyes and striking facial masks only add to the appeal of this breed, who first originated in Siberia. It is easy to see why many are drawn to the Siberian’s wolf-like looks. It’s also important to mention this athletic, intelligent breed can act independently and challenge first-time dog parents. Sadly, many of these dogs end up in shelters because they can require more patience and care than some are willing to give. ",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1454565264-e1701120522406.jpg?w=1024
Silken Windhound,https://dogtime.com/dog-breeds/silken-windhound,4,4,4,4,2,4,4,4,5,4,3,4,3,2,2,4,4,2,3,4,5,4,3,5,1,4,4,4,2,4,5,Hound Dogs,18 to 23.5 inches,20 to 55 pounds,14 to 20 years,"The Silken Windhound dog is a relatively new dog breed that falls into the sighthound category. These elegant dogs are renowned for their striking appearance, agility, and friendly demeanor. Developed in the late 20th century in the United States, the breed is a result of a carefully planned breeding program aimed at creating a sighthound with a balanced combination of athleticism, grace, and amiable temperament.",https://dogtime.com/wp-content/uploads/sites/12/2018/10/GettyImages-738776691-e1707006196197.jpg?w=1024
Silky Terrier,https://dogtime.com/dog-breeds/silky-terrier,3,5,3,3,3,1,4,3,4,3,2,3,3,2,1,4,4,3,1,4,4,4,2,5,4,3,4,4,4,3,4,Companion Dogs,9 inches to 10 inches tall at the shoulder,8 to 10 pounds,12 to 15 years,"The Silky Terrier, a small and elegant dog breed, is cherished for its silky, flowing coat and lively personality. This breed, originating from Australia, boasts a striking appearance with a fine, straight coat that can come in shades of blue and tan. Silky Terriers are known for their alert and spirited nature, often described as “big dogs in small packages.” They are intelligent, quick learners, and make excellent companions for individuals and families alike. With a keen watchdog instinct, they are also social and friendly, getting along well with children and other pets. Their adaptability to both city and suburban living, along with their loving and vivacious temperament, makes them a delightful addition to many households.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-494831928-1-e1697051827207.jpg?w=1024
Skye Terrier,https://dogtime.com/dog-breeds/skye-terrier,4,4,4,3,2,4,4,4,4,4,2,5,3,3,1,3,5,3,2,4,2,4,3,4,4,4,4,3,4,3,4,Terrier Dogs,9 inches to 10 inches tall at the shoulder,25 to 40 pounds,12 to 14 years,"The Skye Terrier is a medium-sized dog breed developed on the Isle of Skye in Scotland. They were originally bred to hunt and kill badgers, otters, and foxes, but they’re appreciated as a versatile companion breed these days.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-821285322-e1694008412391.jpg?w=1024
Sloughi,https://dogtime.com/dog-breeds/sloughi,3,4,2,4,3,2,3,4,5,5,4,3,3,3,1,5,3,2,4,3,3,4,3,5,2,3,4,5,3,5,3,Hound Dogs,"2 feet to 2 feet, 5 inches tall at the shoulder",40 to 63 pounds,12 to 16 years,"The Sloughi is a one-person or one-family dog breed who’s affectionate with their own people but aloof toward strangers. Like many hounds, their stubborn nature can make them too much of a handful for first-time dog parents.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-451049741-e1695997544502.jpg?w=1024
Small Munsterlander Pointer,https://dogtime.com/dog-breeds/small-munsterlander-pointer,3,1,2,3,4,5,3,5,5,5,5,4,3,3,1,3,5,3,3,4,5,5,3,5,3,4,5,4,5,5,4,Sporting Dogs,"1 foot, 7 inches to 1 foot, 10 inches tall at the shoulder",40 to 60 pounds,12 to 14 years,"The Small Munsterlander Pointer originated in Germany during the late 19th century through careful breeding efforts. By crossing local German Pointers with other proficient hunting breeds, this dog was refined into a versatile tracker and retriever, well-suited to various terrains. The German Kennel Club officially recognized the breed in 1922. The Small Munsterlander later made their way to North America in the latter part of the 20th century.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1210390099-e1710119437177.jpg?w=1024
Soft Coated Wheaten Terrier,https://dogtime.com/dog-breeds/soft-coated-wheaten-terrier,3,5,4,4,2,2,3,5,5,5,5,5,3,2,1,3,4,3,3,3,4,4,2,3,3,4,4,4,3,4,5,Terrier Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",30 to 40 pounds,12 to 15 years,"Sturdy and fun loving, the Soft Coated Wheaten Terrier dog breed is a friend to one and all. They’re relatively easygoing for a terrier, need a moderate amount of exercise, and can make a great family dog. The Wheaten Terrier, often referred to simply as the “Wheaten,” hails from Ireland. They were originally bred as versatile farm dogs, serving as all-around working dogs on Irish farms.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-129254124-e1694793485621.jpg?w=1024
Spanish Mastiff,https://dogtime.com/dog-breeds/spanish-mastiff,3,2,1,3,3,4,3,3,4,4,2,2,3,3,2,3,4,3,5,2,2,4,2,1,1,2,3,3,2,3,4,Working Dogs,26 to 35 inches,140 to 220 pounds,10 to 12 years,"The Spanish Mastiff, a purebred working dog with a long history of guarding sheep and livestock, is known for its protective, loving, and calm nature. These gentle giants have become popular guard dogs and family pets alike. Throughout history, Spanish Mastiffs have gone by several names, including Mastín Español and Mastín de España. While they are not very common, you can still find them in shelters and breed-specific rescues. ",https://dogtime.com/wp-content/uploads/sites/12/2020/01/GettyImages-1347184243-e1695256198876.jpg?w=1024
Spinone Italiano,https://dogtime.com/dog-breeds/spinone-italiano,4,4,4,5,2,4,3,5,5,5,5,5,3,3,4,2,3,2,4,3,4,4,2,4,2,2,4,4,2,4,4,Sporting Dogs,22 to 28 inches,61 to 86 pounds,10 to 14 years,"The Spinone Italiano is an energetic gun dog originally bred for hunting. Today, many spend their time as companion animals. Medium in size, loyal, and athletic, this dog would be great for an active family on the go. The Spinone Italiano (the plural form is Spinoni Italiani) goes by many names, such as Italian Spinone, Spinone, Italian Griffon, Italian Wire-Haired Pointer, and Italian Coarsehaired Pointer. Despite their purebred status, you can find them in shelters and rescues, so adopt! Don’t shop!",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-934870840-e1700525646592.jpg?w=1024
Springador,https://dogtime.com/dog-breeds/springador,3,2,3,4,1,4,4,3,4,3,3,3,3,1,2,4,4,4,4,4,5,5,2,4,3,4,4,4,3,4,4,Mixed Breed Dogs,18 to 24 inches,50 to 90 pounds,10 to 14 years,"The Springador is a mixed breed dog–a cross between the Springer Spaniel and Labrador Retriever dog breeds. Loyal, friendly and smart, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/11/springador-mixed-dog-breed-pictures-cover.jpg?w=760
Stabyhoun,https://dogtime.com/dog-breeds/stabyhoun,3,2,3,4,3,2,2,4,5,5,4,3,3,3,1,3,5,3,3,4,5,5,1,4,3,3,4,3,4,4,5,Sporting Dogs,"1 foot, 7 inches to 1 foot, 8 inches tall at the shoulder",45 to 50 pounds,13 to 14 years,"Originating from the Netherlands, the Stabyhoun dog is a medium-sized dog breed celebrated for their versatility and amiable nature. Recognized for their contribution as a skilled hunter and retriever, the Stabyhoun dog also makes a great devoted family companion. They have a distinctive coat of various colors and a friendly disposition, and are well-suited for both work and play.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-177302476-e1708355460376.jpg?w=1024
Staffordshire Bull Terrier,https://dogtime.com/dog-breeds/staffordshire-bull-terrier,2,3,1,4,2,3,1,4,5,5,1,5,3,3,3,5,3,4,2,3,2,3,2,2,3,4,4,3,3,4,5,Terrier Dogs,"1 foot, 2 inches to 1 foot, 4 inches tall at the shoulder",24 to 38 pounds,12 to 14 years,"Today’s Staffordshire Bull Terrier, also called the Staffordshire Terrier, Staffy, Staffy dog, or Stafford for short, is a beloved dog breed known for their courage, intelligence, and love of children. Although they were developed in 19th-century Britain to be a small, fast, fighting dog, those days are long past. Sadly, this reputation still lingers, and these highly affectionate dogs face much stigma. Even though these are purebred dogs, you will often find them in the care of shelters and rescue groups. Remember to adopt if you want to bring one of these dogs home.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1418252093-e1695215819445.jpg?w=1024
Standard Schnauzer,https://dogtime.com/dog-breeds/standard-schnauzer,3,4,2,4,2,4,4,3,4,4,3,2,2,1,1,2,5,1,3,4,3,5,3,5,2,5,5,5,3,5,5,Working Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 50 pounds,13 to 16 years,"The Standard Schnauzer was originally bred for ratting, guarding, and working on family farms in Germany. Their versatility, medium size, protective nature, and love of family also make them an excellent companion dog breed. Although they can be somewhat territorial and stubborn, dogs of this breed also have high intelligence and energy. If you’re an experienced dog parent looking for a guardian and best friend to go with you on adventures, this may be the breed for you!",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-186512978-e1698415021170.jpg?w=1024
Sussex Spaniel,https://dogtime.com/dog-breeds/sussex-spaniel,4,5,5,5,1,5,5,5,5,5,5,5,3,3,1,4,4,5,2,3,3,5,2,1,4,1,2,2,1,2,4,Sporting Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",35 to 45 pounds,11 to 14 years,"The Sussex Spaniel is a medium-sized sporting dog breed from Sussex County, England bred to flush birds into the air for hunters. With a dark or golden-liver coat, Sussex Spaniels look similar in appearance to the Cocker Spaniel but sit lower to the ground. With a compact and low body, they have a reputation for being slow and calm, but they liven up when they scent birds. Because Sussex Spaniels form strong bonds with their humans, they don’t fare so well when left alone for long periods of time. As a sensitive breed, they crave affection and attention. They require firm but gentle leadership during training.",https://dogtime.com/wp-content/uploads/sites/12/2024/04/GettyImages-1694010480-1-e1714525711421.jpg?w=1024
Swedish Vallhund,https://dogtime.com/dog-breeds/swedish-vallhund,3,3,1,3,3,4,3,4,5,4,3,5,4,4,1,5,4,4,3,3,5,5,2,4,1,3,5,5,3,5,5,Herding Dogs,"11 inches to 1 foot, 1 inch tall at the shoulder",22 to 35 pounds,12 to 15 years,"The Swedish Vallhund, often called the “Viking Dog” or “Swedish Cattle Dog,” is a unique and energetic breed originating from Sweden. This small to medium-sized dog boasts a striking resemblance to a wolf and has a rich history as a versatile working dog. Vallhunds were originally used by Swedish farmers to herd cattle, control vermin, and guard their homes. Their distinctive traits include a wedge-shaped head, prick ears, a bushy tail, and a short, dense double coat that can come in various colors, with the most common being gray, sable, or red. Despite their small stature, Swedish Vallhunds are strong, agile, and well-suited for various tasks.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1131346877-e1694391250949.jpg?w=1024
